merchant_details.business_type,merchant_details.entity_type,merchant_details.state,merchant_details.credit_score,merchant_details.months_in_business,merchant_details.requested_amount,merchant_details.avg_monthly_revenue,lender_offer.lender_name,lender_offer.funding_amount,lender_offer.payment_amount,lender_offer.factor_rate,lender_offer.rtr,lender_offer.terms,lender_offer.term_type
Retail,LLC,GA,647,144,75000.0,16353.514444444445,Spartan Capital,167.0,16700.0,1.46,24382.0,146,daily
Retail,LLC,GA,647,144,75000.0,16353.514444444445,Vader,211.429,15000.0,1.48,22200.0,105,daily
Retail,LLC,GA,647,144,75000.0,16353.514444444445,Kapitus,946.0,37200.0,1.32,49104.0,52,weekly
Retail,LLC,GA,647,144,75000.0,16353.514444444445,Good Funding,215.66,30600.0,1.48,45288.0,210,daily
Retail,LLC,GA,647,144,75000.0,16353.514444444445,*API SUB* - Forward Financing,206.94,25000.0,1.49,37250.0,180,daily
Retail,LLC,GA,647,144,75000.0,16353.514444444445,Kalamata,856.82,26000.0,1.45,37700.0,44,weekly
Retail,LLC,GA,647,144,75000.0,16353.514444444445,Cashable Funding,477.0,15000.0,1.499,22485.0,48,daily
Retail,LLC,GA,647,144,75000.0,16353.514444444445,*API SUB* - Lendini,365.0,25000.0,1.46,36500.0,100,daily
Retail,LLC,GA,647,144,75000.0,16353.514444444445,Fundworks ,365.0,50000.0,1.46,73000.0,200,daily
Retail,LLC,GA,647,144,75000.0,16353.514444444445,*API SUB* - Kapitus ,908.54,37200.0,1.27,47244.0,52,weekly
Retail,LLC,GA,647,144,75000.0,16353.514444444445,Greenbox,175.16,25600.0,1.43,36608.0,209,daily
Construction,LLC,,625,0,150000.0,184073.93,Delta Bridge Funding,651.875,35000.0,1.49,52150.0,80,daily
Construction,LLC,,625,0,150000.0,184073.93,EAdvance,624.583,50000.0,1.499,74950.0,120,daily
Construction,LLC,,625,0,150000.0,184073.93,Rival Funding,506.0,45054.79,1.46,65779.993,130,daily
Construction,LLC,,625,0,150000.0,184073.93,Rival Funding,460.0,25034.01,1.47,36799.995,80,daily
Retail,LLC,GA,615,65,30000.0,12039.698333333334,Bitty,173.0,14000.0,1.55,21700.0,126,daily
Retail,LLC,GA,615,65,30000.0,12039.698333333334,*API SUB* - Forward Financing,130.29,12000.0,1.52,18240.0,140,daily
Retail,LLC,GA,615,65,30000.0,12039.698333333334,*API SUB* - Lendini,93.333,10000.0,1.4,14000.0,150,daily
Retail,LLC,GA,615,65,30000.0,12039.698333333334,Vader,171.88,11000.0,1.5,16500.0,96,daily
Retail,LLC,GA,615,65,30000.0,12039.698333333334,Merchant Marketplace,135.11,16000.0,1.52,24320.0,181,daily
Retail,LLC,GA,615,65,30000.0,12039.698333333334,Merchant Marketplace,648.9,16000.0,1.46,23360.0,36,weekly
--access_panels,LLC,MI,0,89,0.0,81821.53666666667,Fox,319.286,15000.0,1.49,22350.0,70,daily
--access_panels,LLC,MI,0,89,0.0,81821.53666666667,Quicksilver Capital,539.0,77000.0,1.4,107800.0,200,daily
-,,NY,0,316,0.0,0.0,Mantis,227.05,13500.0,1.48,19980.0,88,daily
Veterinary,Corporation,CO,762,0,315000.0,94367.784,CAN CAPITAL.,367.91,134063.24,1.449,194257.635,529,daily
Veterinary,Corporation,CO,762,0,315000.0,94367.784,Fundworks ,1068.889,130000.0,1.48,192400.0,180,daily
-educational_service-business,Corporation,CT,625,304,0.0,58224.667499999996,Unique ,149.9,5000.0,1.499,7495.0,50,daily
-educational_service-business,Corporation,CT,625,304,0.0,58224.667499999996,Cresthill ,427.952,24000.0,1.48,35520.0,83,daily
sewing%20shops-custom,Corporation,CA,0,565,0.0,56507.43,*API SUB* - Kapitus ,371.014,100000.0,1.28,128000.0,345,daily
sewing%20shops-custom,Corporation,CA,0,565,0.0,56507.43,CAN CAPITAL.,246.98,110222.68,1.21,133369.443,540,daily
sewing%20shops-custom,Corporation,CA,0,565,0.0,56507.43,*API SUB* - OnDeck,200.778,78000.0,1.39,108420.0,540,daily
sewing%20shops-custom,Corporation,CA,0,565,0.0,56507.43,Business Backer - PORTAL,1982.0,94000.0,1.24,116560.0,59,weekly
sewing%20shops-custom,Corporation,CA,0,565,0.0,56507.43,*API SUB* - Credibly,349.117,80800.0,1.145,92516.0,265,daily
towing,Sole proprietorship,TN,0,100,0.0,37920.462857142855,Yellowstone,145.0,8000.0,1.45,11600.0,80,daily
transportation_,,IN,0,167,0.0,442728.22874999995,PROPOSE SUBMISSION - Fora,214.55,18200.0,1.45,26390.0,123,daily
transportation_,,IN,0,167,0.0,442728.22874999995,Tvt Capital,1329.37,125000.0,1.34,167500.0,126,daily
Pest Control,Corporation,AZ,658,360,100000.0,134309.1925,*API SUB* - Forward Financing,4156.25,150000.0,1.33,199500.0,48,weekly
Pest Control,Corporation,AZ,658,360,100000.0,134309.1925,Greenbox,887.68,165700.0,1.35,223695.0,252,daily
Pest Control,Corporation,AZ,658,360,100000.0,134309.1925,BALBOA,413.89,100000.0,1.49,149000.0,360,daily
Pest Control,Corporation,AZ,658,360,100000.0,134309.1925,Kalamata,2802.27,90000.0,1.37,123300.0,44,daily
Pest Control,Corporation,AZ,658,360,100000.0,134309.1925,Fundworks ,1438.889,175000.0,1.48,259000.0,180,daily
Pest Control,Corporation,AZ,658,360,100000.0,134309.1925,*API SUB* - Lendr,633.33,100000.0,1.52,152000.0,241,daily
Pest Control,Corporation,AZ,658,360,100000.0,134309.1925,Pirs Capital,4374.4,171000.0,1.32,225720.0,52,weekly
--landscaping,LLC,FL,0,197,0.0,142579.81625,Quicksilver Capital,7668.0,54000.0,1.42,76680.0,10,daily
Landscaping,LLC,MI,710,292,100000.0,93333.33333333333,LLSV,349.0,25000.0,1.47,36750.0,106,daily
Landscaping,LLC,MI,710,292,100000.0,93333.33333333333,Splash Advance - **NO 1ST POSITIONS**,183.003,14260.0,1.54,21960.4,120,daily
Transportation/Trucking/Logistics/Freight Services,LLC,TX,688,133,300000.0,740833.3162500001,*API SUB* - Bitty Advance,1480.0,150000.0,1.45,217500.0,147,daily
Construction,Corporation,,624,0,100000.0,588775.5575,Gfe,3899.0,567000.0,1.449,821583.0,211,daily
Construction,Corporation,,624,0,100000.0,588775.5575,Torro.,1118.0,90000.0,1.49,134100.0,120,daily
Construction,Corporation,,624,0,100000.0,588775.5575,EAdvance,624.583,50000.0,1.499,74950.0,120,daily
Construction,Corporation,,624,0,100000.0,588775.5575,Cobalt Funding,1267.007,125000.0,1.49,186250.0,147,daily
Construction,Corporation,,624,0,100000.0,588775.5575,Merchant Marketplace,5587.5,90000.0,1.49,134100.0,24,weekly
